n, statements
1621, 1315947
1622, 1318404
1623, 1320625
1624, 1323258
1625, 1323267
1626, 1324400
1627, 1326097
1628, 1327820
1629, 1330471
1630, 1332076
1631, 1334793
1632, 1338054
1633, 1339649
1634, 1342570
1635, 1343877
1636, 1344062
1637, 1346289
1638, 1347862
1639, 1349939
1640, 1353094
1641, 1354733
1642, 1356496
1643, 1358205
1644, 1359198
1645, 1362197
1646, 1364306
1647, 1366959
1648, 1368036
1649, 1368377
1650, 1368404
1651, 1371361
1652, 1373746
1653, 1376925
1654, 1378102
1655, 1381161
1656, 1382734
1657, 1383055
1658, 1384238
1659, 1386589
1660, 1387658
1661, 1390941
1662, 1393446
1663, 1394795
1664, 1396652
1665, 1399553
1666, 1400204
1667, 1402705
1668, 1403702
1669, 1404579
1670, 1407682
1671, 1409029
1672, 1412160
1673, 1414677
1674, 1416892
1675, 1418903
1676, 1419114
1677, 1421457
1678, 1424098
1679, 1425093
1680, 1428174
1681, 1430619
1682, 1433940
1683, 1435547
1684, 1437770
1685, 1439879
1686, 1442340
1687, 1442551
1688, 1444500
1689, 1447701
1690, 1448834
1691, 1451275
1692, 1453496
1693, 1454823
1694, 1456986
1695, 1459979
1696, 1462632
1697, 1462661
1698, 1465696
1699, 1468979
1700, 1469060
1701, 1470173
1702, 1471986
1703, 1473309
1704, 1475088
1705, 1476013
1706, 1476676
1707, 1478937
1708, 1480028
1709, 1482781
1710, 1485882
1711, 1486441
1712, 1487786
1713, 1489375
1714, 1491300
1715, 1492929
1716, 1495472
1717, 1498755
1718, 1499358
1719, 1501589
1720, 1501892
1721, 1503745
1722, 1506322
1723, 1506961
1724, 1509236
1725, 1512641
1726, 1513314
1727, 1515455
1728, 1518272
1729, 1519459
1730, 1520552
1731, 1521241
1732, 1523044
1733, 1523771
1734, 1526632
1735, 1527479
1736, 1530712
1737, 1531015
1738, 1534044
1739, 1535435
1740, 1537340
1741, 1537949
1742, 1539064
1743, 1541251
1744, 1543180
1745, 1543773
1746, 1545976
1747, 1546047
1748, 1546244
1749, 1546947
1750, 1549472
1751, 1550475
1752, 1551294
1753, 1553905
1754, 1556248
1755, 1559689
1756, 1560254
1757, 1562125
1758, 1563892
1759, 1567343
1760, 1569890
1761, 1570705
1762, 1573902
1763, 1575689
1764, 1577922
1765, 1580801
1766, 1583908
1767, 1586071
1768, 1588650
1769, 1591687
1770, 1594844
1771, 1596215
1772, 1599180
1773, 1600267
1774, 1603718
1775, 1607201
1776, 1609502
