n, statements
1329, 6732202
1330, 6733339
1331, 6738440
1332, 6743696
1333, 6747161
1334, 6754490
1335, 6756066
1336, 6761380
1337, 6771344
1338, 6771475
1339, 6777905
1340, 6780598
1341, 6784206
1342, 6785414
1343, 6791924
1344, 6792368
1345, 6795992
1346, 6804055
1347, 6813283
1348, 6821042
1349, 6825621
1350, 6830655
1351, 6840232
1352, 6847363
1353, 6853047
1354, 6859761
1355, 6863345
1356, 6865510
1357, 6867311
1358, 6872310
1359, 6881645
1360, 6886861
1361, 6893381
1362, 6895535
1363, 6905363
1364, 6911814
1365, 6911827
1366, 6917691
1367, 6921958
1368, 6923943
1369, 6926129
1370, 6928428
1371, 6929737
1372, 6939187
1373, 6943192
1374, 6946311
1375, 6950920
1376, 6954490
1377, 6964213
1378, 6969718
1379, 6975987
1380, 6985550
1381, 6987470
1382, 6989307
1383, 6990935
1384, 6999691
1385, 7006890
1386, 7014388
1387, 7018948
1388, 7021019
1389, 7025761
1390, 7030399
1391, 7036797
1392, 7038883
1393, 7044382
1394, 7045575
1395, 7045781
1396, 7049147
1397, 7055243
1398, 7060419
1399, 7070006
1400, 7071451
1401, 7074166
1402, 7079916
1403, 7080856
1404, 7084916
1405, 7094411
1406, 7094458
1407, 7096886
1408, 7104553
1409, 7114394
1410, 7115132
1411, 7120913
1412, 7123848
1413, 7130384
1414, 7133995
1415, 7135178
1416, 7135709
1417, 7143911
1418, 7145072
1419, 7150317
1420, 7158886
1421, 7168181
1422, 7173312
1423, 7182480
1424, 7182752
1425, 7192497
1426, 7202208
1427, 7209733
1428, 7210585
1429, 7216830
1430, 7226530
1431, 7230620
1432, 7233578
1433, 7241518
1434, 7249665
1435, 7258562
1436, 7262468
1437, 7272319
1438, 7275763
1439, 7281402
1440, 7282331
1441, 7287620
1442, 7288387
1443, 7295298
1444, 7303287
1445, 7303391
1446, 7311101
1447, 7317728
1448, 7319077
1449, 7328790
1450, 7335002
1451, 7341274
1452, 7349860
1453, 7351309
1454, 7360164
1455, 7364148
1456, 7372573
1457, 7375433
1458, 7382810
1459, 7389149
1460, 7391939
1461, 7392666
1462, 7392751
1463, 7402443
1464, 7406373
1465, 7413306
1466, 7421749
1467, 7424453
1468, 7427513
1469, 7427921
1470, 7436970
1471, 7440059
1472, 7441006
1473, 7450120
1474, 7450203
1475, 7450985
1476, 7454730
1477, 7463125
1478, 7469835
1479, 7473195
1480, 7481721
1481, 7484646
1482, 7486093
1483, 7487712
1484, 7495227
1485, 7502055
1486, 7510906
1487, 7517835
1488, 7518938
1489, 7521806
1490, 7526179
1491, 7527419
1492, 7537293
1493, 7538961
1494, 7547906
1495, 7548497
1496, 7557645
1497, 7562241
1498, 7567036
1499, 7576966
1500, 7585017
1501, 7587665
1502, 7593020
1503, 7594420
1504, 7597362
1505, 7601826
1506, 7607640
1507, 7609274
1508, 7611623
1509, 7616438
1510, 7619863
1511, 7625628
1512, 7629945
1513, 7630111
1514, 7635328
1515, 7637693
1516, 7645004
1517, 7651022
1518, 7659605
1519, 7664792
1520, 7665264
1521, 7670128
1522, 7677192
1523, 7679071
1524, 7683632
1525, 7684677
1526, 7694516
1527, 7702200
1528, 7711963
1529, 7718767
1530, 7722285
1531, 7731459
1532, 7733872
1533, 7743363
1534, 7744431
1535, 7745987
1536, 7749165
1537, 7756023
1538, 7761310
1539, 7769924
1540, 7772768
1541, 7774756
1542, 7782755
1543, 7783242
1544, 7790161
1545, 7797477
1546, 7804873
1547, 7808644
1548, 7809259
1549, 7817415
1550, 7822489
1551, 7822830
1552, 7824654
1553, 7825134
1554, 7828659
1555, 7837830
1556, 7841751
1557, 7845827
1558, 7846288
1559, 7851411
1560, 7853131
1561, 7858462
1562, 7859838
1563, 7868756
1564, 7876163
1565, 7880563
1566, 7888799
1567, 7889714
1568, 7896305
1569, 7902776
1570, 7912438
1571, 7913597
1572, 7916803
1573, 7919258
1574, 7924882
1575, 7930406
1576, 7939519
1577, 7947856
1578, 7956173
1579, 7961489
1580, 7968534
1581, 7976378
1582, 7982833
1583, 7992766
1584, 7995394
1585, 7995942
1586, 7997221
1587, 8005584
1588, 8007154
1589, 8014354
1590, 8014938
1591, 8019520
1592, 8022845
1593, 8031373
1594, 8036716
1595, 8046634
1596, 8053599
1597, 8062186
1598, 8065273
1599, 8068967
1600, 8070257
1601, 8076964
1602, 8081299
1603, 8083186
1604, 8089795
1605, 8094929
1606, 8095086
1607, 8095895
1608, 8102652
1609, 8108799
1610, 8114243
1611, 8119244
1612, 8119894
1613, 8127488
1614, 8128411
1615, 8131553
1616, 8133126
1617, 8135876
1618, 8144035
1619, 8145002
1620, 8150601
1621, 8152872
1622, 8155256
1623, 8161850
1624, 8167472
1625, 8170493
1626, 8180462
1627, 8181419
1628, 8184017
1629, 8192725
1630, 8194454
1631, 8199304
1632, 8201922
1633, 8202050
1634, 8210004
1635, 8214948
1636, 8224078
1637, 8224824
1638, 8225574
1639, 8233795
1640, 8235713
1641, 8236818
1642, 8239815
1643, 8245563
1644, 8249341
1645, 8257985
1646, 8267785
1647, 8273825
1648, 8278214
1649, 8279698
1650, 8287509
1651, 8296534
1652, 8305054
1653, 8313946
1654, 8316129
1655, 8323604
1656, 8331700
1657, 8332770
1658, 8339242
1659, 8341604
1660, 8349833
1661, 8353201
1662, 8362739
1663, 8370904
1664, 8371292
1665, 8377287
1666, 8380740
1667, 8390685
1668, 8390792
1669, 8396263
1670, 8398990
1671, 8403822
1672, 8411539
1673, 8414081
1674, 8415522
1675, 8421350
1676, 8424617
1677, 8430346
1678, 8434348
1679, 8444168
1680, 8450246
1681, 8457049
1682, 8457428
1683, 8459739
1684, 8465111
1685, 8473197
1686, 8473739
1687, 8483520
1688, 8491329
1689, 8496629
1690, 8501015
1691, 8501347
1692, 8501447
1693, 8509318
1694, 8514156
1695, 8515246
1696, 8517285
1697, 8518317
1698, 8526106
1699, 8535379
1700, 8540935
1701, 8546607
1702, 8552111
1703, 8559968
1704, 8561349
1705, 8568395
1706, 8570148
1707, 8572824
1708, 8575533
1709, 8580148
1710, 8583283
1711, 8583732
1712, 8587657
1713, 8592153
1714, 8598117
1715, 8601821
1716, 8608142
1717, 8611280
1718, 8620852
1719, 8628564
1720, 8637432
1721, 8644513
1722, 8648457
1723, 8654829
1724, 8659881
1725, 8662673
1726, 8663399
1727, 8669801
1728, 8674216
1729, 8682549
1730, 8690051
1731, 8693568
1732, 8703219
1733, 8704951
1734, 8713341
1735, 8717853
1736, 8718627
1737, 8721755
1738, 8726662
1739, 8728035
1740, 8733072
1741, 8738615
1742, 8744671
1743, 8753166
1744, 8759151
1745, 8764792
1746, 8769461
1747, 8772980
1748, 8777836
1749, 8786525
1750, 8789503
1751, 8799484
1752, 8802217
1753, 8809415
1754, 8815204
1755, 8821035
1756, 8827921
1757, 8829401
1758, 8838715
1759, 8844183
1760, 8852970
1761, 8856179
1762, 8858548
1763, 8861672
1764, 8864594
1765, 8869085
1766, 8873866
1767, 8877413
1768, 8882548
1769, 8884230
1770, 8889576
1771, 8897474
1772, 8904649
1773, 8910663
1774, 8912967
1775, 8913787
1776, 8918164
1777, 8924798
1778, 8927007
1779, 8932420
1780, 8934568
1781, 8942255
1782, 8949014
1783, 8958196
1784, 8967083
1785, 8969985
1786, 8971935
1787, 8980947
1788, 8985660
1789, 8987983
1790, 8994754
1791, 9003530
1792, 9006509
1793, 9011207
1794, 9018920
1795, 9025712
1796, 9033749
1797, 9038622
1798, 9048436
1799, 9049578
1800, 9059131
1801, 9063476
1802, 9072287
1803, 9078200
1804, 9084433
1805, 9093207
1806, 9093491
1807, 9099005
1808, 9101217
1809, 9111080
1810, 9120693
1811, 9127608
1812, 9129718
1813, 9130789
1814, 9134632
1815, 9142509
1816, 9150424
1817, 9152326
1818, 9155567
1819, 9162220
1820, 9171122
1821, 9175358
1822, 9176042
1823, 9176328
1824, 9181654
1825, 9183998
1826, 9189073
1827, 9195989
1828, 9205898
1829, 9214934
1830, 9223019
1831, 9231473
1832, 9238173
1833, 9240800
1834, 9250741
1835, 9259364
1836, 9260898
1837, 9268908
1838, 9269048
1839, 9270304
1840, 9272539
1841, 9277729
1842, 9285774
1843, 9295720
1844, 9299180
1845, 9300204
1846, 9301542
1847, 9303922
1848, 9309091
1849, 9313256
1850, 9321572
1851, 9326982
1852, 9327917
1853, 9330346
1854, 9339218
1855, 9343134
1856, 9347445
1857, 9356422
1858, 9364176
1859, 9365829
1860, 9372425
1861, 9376336
1862, 9381218
1863, 9390055
1864, 9398339
1865, 9406244
1866, 9407810
1867, 9411034
1868, 9416011
1869, 9416303
1870, 9425211
1871, 9434628
1872, 9441913
1873, 9451897
1874, 9458017
1875, 9459306
1876, 9465249
1877, 9471492
1878, 9480241
1879, 9481307
1880, 9488405
1881, 9496015
1882, 9505504
1883, 9513547
1884, 9513587
1885, 9516120
